Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
2,1,17.3,103,32,512,82,5,4.7,66130000.0,1,1,0,0,1000,0,0,1,1920,1080
0,1,15.6,77,8,256,75,5,2.5,14382000.0,0,1,0,0,0,0,1,1,1920,1080
10,3,15.6,56,8,128,47,5,2.2,10013000.0,0,1,0,0,0,0,0,0,1366,768
2,3,17.3,106,8,128,63,5,2.1,19465000.0,1,1,0,0,1000,0,0,1,1920,1080
2,3,17.3,97,8,128,86,4,2.69,15113000.0,1,1,0,0,1000,0,0,1,1920,1080
4,1,15.6,77,8,256,75,5,2.56,14943000.0,0,1,0,0,0,0,0,1,1920,1080
10,0,13.9,97,8,256,53,5,1.38,18343000.0,0,1,0,0,0,1,1,1,1920,1080
4,3,15.6,106,8,128,7,5,2.2,16745000.0,1,1,0,0,2000,0,0,1,1920,1080
7,3,15.6,74,8,1000,53,5,2.04,9503000.0,1,0,0,0,0,1,0,0,1366,768
2,1,17.3,103,16,256,82,5,3.6,50983000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,13.3,83,4,500,61,5,1.49,11475000.0,1,0,0,0,0,0,1,1,1920,1080
1,4,13.3,67,8,512,59,8,1.37,34680000.0,0,1,0,0,0,0,1,0,2560,1600
4,0,15.6,106,8,1000,61,5,2.08,13923000.0,1,0,0,0,0,1,1,1,1920,1080
2,1,17.3,102,16,256,93,5,4.3,30583000.0,1,1,0,0,1000,0,0,1,1920,1080
2,3,15.6,14,4,1000,22,5,1.68,7973000.0,1,0,0,0,0,0,0,0,1366,768
10,0,13.9,106,8,512,61,5,1.37,31433000.0,0,1,0,0,0,1,1,1,1920,1080
0,3,17.3,60,4,256,97,5,3.0,11934000.0,0,1,0,0,0,0,1,1,1920,1080
4,4,13.3,83,8,256,61,5,1.41,16133000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,10,8,128,16,5,1.91,7580300.0,0,1,0,0,0,0,0,0,1366,768
7,3,17.3,106,16,1000,98,5,2.9,18003000.0,1,0,0,0,0,0,1,1,1920,1080
11,1,17.3,102,16,512,80,5,4.14,42483000.0,1,1,0,0,1000,0,0,1,1920,1080
10,0,15.6,102,8,512,77,5,2.0,28883000.0,0,1,0,0,0,1,1,1,1920,1080
4,3,17.3,106,8,128,7,5,2.8,19414000.0,1,1,0,0,1000,0,0,1,1920,1080
10,3,15.6,56,4,256,47,4,2.2,7548000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,83,4,500,53,5,2.1,12274000.0,1,0,0,0,0,0,1,1,1920,1080
4,3,15.6,74,4,1000,53,5,2.18,11169000.0,1,0,0,0,0,0,0,1,1920,1080
4,3,15.6,74,8,1000,24,5,2.24,9605000.0,1,0,0,0,0,0,0,1,1920,1080
